Processed_Text,Raw_Text,Label
guysall togheter xelb forum stock ready short squeeze n't wait anymore xcel brands wait double,G u y s . . a l l   t o g h e t e r   o n   X E L B   f o r u m   :   t h e   s t o c k   i s   r e a d y   f o r   s h o r t   s q u e e z e .   d o n ' t   w a i t   a n y m o r e .   X C E L   B R A N D S   w a i t   y o u .   T o   d o u b l e .,1
short 41-1 close,I   s h o r t e d   4 . 1 -1   j u s t   c l o s e d   i t,0
400,4 . 0 0,0.5
something fall back 4040 close,s o m e t h i n g   a b o u t   f a l l i n g   b a c k   t o   4 . 0 4 0   b e f o r e   c l o s e ! !,0
lolwe close say,n o   l o l . . w e   w i l l   c l o s e   w h e r e   w e   s a i d,0.5
,a n d   w h e r e   w a s   t h a t ?,0.5
u forget fast,u   f o r g o t   s o   f a s t  ,0.5
🤑🤑🤑,🤑 🤑 🤑,0.5
perfect day scalp nice green day today gl everybody nice weekend,"P e r f e c t   d a y   f o r   s c a l p i n g !   N i c e   g r e e n   d a y   f o r   m e   t o d a y ,   G L   e v e r y b o d y ,   h a v e   a   n i c e   w e e k e n d !",0.5
nice weekend positive balance day play badly pump end day time,"H a v e   a   n i c e   w e e k e n d ,   p o s i t i v e   b a l a n c e   o f   t h e   d a y ,   b u t   I   p l a y e d   v e r y   b a d l y   o n   t h e   p u m p s   a t   t h e   e n d   o f   t h e   d a y ,   I   w a s   n o t   i n   t h e   t i m i n g .",0.5
oh buy way forget tell bob sell @ 100 whatever,o h   b u y   t h e   w a y   i   f o r g o t   t o   t e l l   y o u   b o b   s o l d   m e   @   1 0 0   o r   w h a t e v e r   h e   d o e s .,0.5
rookie short @ 104,r o o k i e .   t h e   s h o r t   w a s   @   . 1 0 4,0
bobby whitney,B o b b y   o r   w h i t n e y   . . ?,0.5
come 40-1,c o m e   o n   4 . 0 -1,1
resestance seem strongu waterboy,t h i s   r e s e s t a n c e   s e e m s   t o   b e   s t r o n g . . . . u   c a n   d o   i t   w a t e r b o y,0.5
drop u snitch wan na rich,D r o p   i t   u   s n i t c h   I   w a n n a   b e   r i c h  ,0.5
new wall @ 100,n e w   w a l l   @ 1 0 0,1
drop like,D r o p   i t   l i k e   i t s  ,0.5
breakout channel would mean 100 c'mon natty make mind,"A   b r e a k o u t   o f   t h e   c h a n n e l   w o u l d   m e a n   a b o v e   1 0 0 .   C ' m o n   N a t t y ,   m a k e   u p   y o u r   m i n d   ! ! !",0
get another parabolic move,W i l l   t h i s   g e t   a n o t h e r   p a r a b o l i c   m o v e ?,1
long respect line yes chance,a s   l o n g   a s   i t s   r e s p e c t i n g   t h i s   l i n e   y e s   t h e r e   a r e   c h a n c e s,0.5
next week,n e x t   w e e k,0.5
drop already,D r o p   t h i s   a l r e a d y,0
ovv really elevate today,O V V   i s   r e a l l y   e l e v a t i n g   t o d a y . . . . . .,1
come oooon,C o m e   o o o o n,0.5
euro come bit coldshort pop euro,E u r o   c o m i n g   i n   a   b i t   c o l d . . . . . s h o r t   i t   a f t e r   t h e   p o p   f r o m   t h e   e u r o,0
doit feel pump monday careful short nnez votre avis sur le contrats à terme sur le gaz naturel,D o I t   f e e l s   t h e   p u m p   f o r   M o n d a y   . . . .   b e   c a r e f u l   w i t h   y o u r   s h o r t s   n n e z   v o t r e   a v i s   s u r   l e s   c o n t r a t s   à   t e r m e   s u r   l e   g a z   n a t u r e l,1
feel pump monday careful short,I t   f e e l s   t h e   p u m p   f o r   M o n d a y   . . . .   b e   c a r e f u l   w i t h   y o u r   s h o r t s,1
opaa close 41 🤔,o p a a   c l o s i n g   a b o v e   4 . 1   🤔  ,0.5
easy caveman could,s o   e a s y   a   c a v e m a n   c o u l d   d o   i t,0.5
real momentum n't break,N o w   w e   h a v e   r e a l   m o m e n t u m .   I f   w e   d o n ' t   b r e a k   u p   n o w . . . . .,1
gap 540 call quickly winter season 🚀 lol,G a p   5 . 4 0   c a l l i n g   q u i c k l y   i t s   w i n t e r   s e a s o n   🚀   l o l  ,1
short long weekend,S h o r t   o r   l o n g   o v e r   t h e   w e e k e n d ?,0.5
tisla answer,o n l y   t i s l a   c a n   a n s w e r   t h a t,0.5
nice ascend channel,n i c e   a s c e n d i n g   c h a n n e l   f o r   m e,1
never easy lol,n e v e r   b e e n   s o   e a s y   l o l  ,0.5
fail talk nato /eu give russia deadline 7 day today target cyber attack paralyze ukraine,a f t e r   t h e   f a i l e d   t a l k s   w i t h   N A T O   / E U   g a v e   R u s s i a   a   d e a d l i n e   o f   7   d a y s   . T o d a y   t a r g e t e d   c y b e r   a t t a c k s   p a r a l y z e d   U k r a i n e .  ,1
deadline,d e a d l i n e   t o   w h a t ?   : D,0.5
watch break past 07-1 time could go run rejected first time,"W a t c h   o u t   i f   w e   b r e a k   p a s t   . 0 7 -1   t h i s   t i m e ,   s h e   c o u l d   g o   f o r   a   r u n . .   R e j e c t e d   f i r s t   t i m e   n o w",0
say go runner,I   s a i d   n o t   n o w   s h e   g o   f o r   t h a t   r u n n e r  ,0.5
io io short 087 056 test let get first lol ye channel job keep cage,"i o   i o   I   s h o r t e d   . 0 8 7   f o r   . 0 5 6   t e s t . .   L e t   m e   g e t   t h a t   f i r s t   l o l . .   B u t   y e ,   c h a n n e l   d o e s   h i s   j o b   k e e p i n g   h e r   c a g e d",0
move ^^,N o w   w e   c a n   m o v e   u p   ^ ^,0.5
wang trust bull cant hold boll $ 1 come,"W a n g   n o   t r u s t   t h i s   b u l l ,   c a n t   h o l d   h a v e   n o   b o l l s .   $ 1   c o m i n g  ",0
bull trap,T h i s   b u l l   t r a p ! ?  ,0
come bear,C o m e   o n   b e a r s,0
petrika stojasoft boll cant hold +-10 %,P e t r i k a   S t o j a S o f t   b o l l s   c a n t   h o l d   + -1 0 %,1
bull trap noww,B u l l   t r a p   n o w w ! ? ? ?  ,0
bear trap seenbut bull trapno,b e a r   t r a p   I   h a v e   s e e n . . . b u t   b u l l   t r a p . . . n o,1
oil/equities upcoop smilinghe want get tip,O i l / e q u i t i e s   a r e   u p . . . . C o o p   i s   s m i l i n g . . . . . h e   w a n t s   t o   g e t   h i s   t i p .,0.5
half hour decide get one long monday,I n   h a l f   a n   h o u r   I   w i l l   d e c i d e   i f   I   g e t   o n e   l o n g   f o r   M o n d a y  ,0.5
short 047 close @ 000 tp @ 0-11 wait one haf hour 05 tick 's enough 's green 's count gl everybody,"S h o r t   f r o m   0 4 7   c l o s e d   @ 0 0 0 .   T P   w a s   @ 0 -1 1 ,   b u t   I   w a i t e d   o n e   a n d   a   h a f   h o u r s   f o r   t h i s   0 5   t i c k s ,   i t ' s   e n o u g h .   I t ' s   g r e e n ,   t h a t ' s   w h a t   i t   c o u n t s !   G L   e v e r y b o d y !",0
's right ✅i think r ardelean,t h a t ' s   r i g h t   ✅ . . . I   t h i n k   I   r   a r d e l e a n,0.5
covered 0 yesterday 11 04 cash hold position wild ride week,C o v e r e d   0   f r o m   y e s t e r d a y   . 1 1   a t   . 0 4 .   A l l   c a s h .   N o t   h o l d i n g   a n y   p o s i t i o n   a f t e r   t h i s   w i l d   r i d e   t h i s   w e e k .  ,0.5
gfe big blue streak thing duck wait till mid next week,"G F E   i s   b i g   b l u e   s t r e a k ,   a n d   t h i s   t h i n g   i s   a   d u c k .   W a i t   t i l l   m i d   n e x t   w e e k .",1
https//invstly/x4btp,h t t p s : / / i n v s t . l y / x 4 b t p,0.5
yeap somewhere bottom channel tp 're move slow ( ( (,"Y e a p ,   s o m e w h e r e   a t   t h e   b o t t o m   o f   m y   c h a n n e l   i s   m y   T P ,   b u t   w e ' r e   m o v i n g   S O   S L O W   : ( ( (   ! ! !  ",0
person sale tap 41 close,T h e r e   s h o u l d   b e   p e r s o n   s a l e s   t a p e d   a t   o v e r   4 . 1   b e f o r e   t h e   c l o s e .,0.5
mean,w h a t   d o   y o u   m e a n   ?,0.5
io io buy 41 certainly sell weekend,i o   i o   T h o s e   w h o   b o u g h t   a b o v e   4 . 1   w i l l   c e r t a i n l y   s e l l   b e f o r e   t h e   w e e k e n d,0
ca n't get penetration today oilapache/cenovus,I t   c a n ' t   g e t   a n y   p e n e t r a t i o n   u p   t o d a y .   A l l   i n   O i l . . . . . A p a c h e / C e n o v u s,0.5
volume sell side day someone hold position wait distribute,t h e   v o l u m e   i s   o n   t h e   s e l l   s i d e   a l l   d a y .   s o m e o n e   i s   h o l d i n g   t h e   p o s i t i o n   w a i t i n g   t o   b e   d i s t r i b u t e d,0
chances war like event happen weekendprices open -15 % mondayits worth long,C h a n c e s   a r e   t h a t   i f   a n y   w a r   l i k e   e v e n t   h a p p e n s   d u r i n g   t h e   w e e k e n d . . . . p r i c e s   w i l l   o p e n   -1 5 %   u p   o n   M o n d a y . . . i t s   w o r t h   w h i l e   h a v i n g   s o m e   l o n g s   i n   t h e r e,1
well hope war guy life important profit,"b e t t e r   n o t   h o p e   f o r   w a r   g u y s ,   l i v e s   a r e   m o r e   i m p o r t a n t   t h a n   p r o f i t s",0.5
pac managree unuseful war,P A C   M A N a g r e e   w i t h   y o u   n o   m o r e   u n u s e f u l   w a r s  ,0.5
oh biden thanks war everbody unite get behind himwell one marine support egotistic career politicianmy pledge constututuion desroying,o h   b i d e n   t h a n k s   w i t h   a   w a r   e v e r b o d y   w i l l   u n i t e   a n d   g e t   b e h i n d   h i m . . w e l l   t h i s   i s   o n e   M A R I N E   t h a t   w i l l   n o t   s u p p o r t   a n   e g o t i s t i c   c a r e e r   p o l i t i c i a n . . . m y   p l e d g e   w a s   t o   t h e   c o n s t u t u t u i o n   a n d   h e   i s   d e s r o y i n g   i t .,1
buy war guarantee russia want,"b u y ,   w a r   i s   g u a r a n t e e d .   i t   i s   o n l y   w h a t   R u s s i a   w a n t s .",1
people dont buy level buy market maker dump dont buy market maker keep pump pump eventually free everyone trap 41-47,"p e o p l e ,   d o n t   b u y   a t   t h i s   l e v e l .   I f   y o u   b u y ,   m a r k e t   m a k e r   w i l l   d u m p   o n   y o u .   i f   y o u   d o n t   b u y ,   m a r k e t   m a k e r   h a s   t o   k e e p   p u m p i n g   a n d   p u m p i n g ,   i t   w i l l   e v e n t u a l l y   f r e e   e v e r y o n e   t r a p p e d   a t   4 . 1 - 4 . 7",0.5
thing u need trade ng sufficient remain margin release everyone eventually,"o n l y   t h i n g   u   n e e d   i n   t r a d i n g   n g   i s   s u f f i c i e n t   r e m a i n i n g   m a r g i n ,   i t   r e l e a s e s   e v e r y o n e   e v e n t u a l l y",0.5
pac manpeople 500 pip margin either stoploss dissappear month sadly,"P A C   M A N p e o p l e   w i t h   5 0 0   p i p s   m a r g i n   h a v e   e i t h e r   a   s t o p l o s s   o r   d i s s a p p e a r   a f t e r   s o m e   m o n t h s ,   s a d l y",0.5
yes say buy lower level always go less risky sell mid level,"b u t   y e s   h a v i n g   s a i d   t h a t ,   b u y i n g   a t   l o w e r   l e v e l s   i s   a l w a y s   g o i n g   t o   b e   l e s s   r i s k y   a s   s e l l i n g   a t   m i d   l e v e l s",1
close long 4075,c l o s e d   l o n g s   4 . 0 7 5,0
good call,g o o d   c a l l,0.5
let explain whats go ukraine/ russia putin angry ukraine /nato/eu ukraine take first major step away dependency russian gas import thursday sign $ -10 billion ( 6 billion pound ) shale gas deal royal dutch shell ( rdsal ) 50-year production share agreement sign sideline world economic forum davos mark big contract yet tap shale gas europe large foreign investment former soviet republicdisputes kiev moscow seriously disrupt russian gas flow via ukraine 0006 0009 european union member bulgaria slovakia leave without energy depth winter,"L e t   e x p l a i n   w h a t s   g o i n g   o n   i n   U k r a i n e /   R u s s i a   a n d   w h y   P u t i n   i s   s o   a n g r y   a b o u t   U k r a i n e   / N A T O / E U   U k r a i n e   t o o k   i t s   f i r s t   m a j o r   s t e p   a w a y   f r o m   d e p e n d e n c y   o n   R u s s i a n   g a s   i m p o r t s   o n   T h u r s d a y   w h e n   i t   s i g n e d   a   $ -1 0   b i l l i o n   ( 6   b i l l i o n   p o u n d s )   s h a l e   g a s   d e a l   w i t h   R o y a l   D u t c h   S h e l l   ( R D S a . L ) . T h e   5 0 - y e a r   p r o d u c t i o n   s h a r i n g   a g r e e m e n t ,   s i g n e d   o n   t h e   s i d e l i n e s   o f   t h e   W o r l d   E c o n o m i c   F o r u m   i n   D a v o s ,   m a r k s   t h e   b i g g e s t   c o n t r a c t   y e t   t o   t a p   s h a l e   g a s   i n   E u r o p e   a n d   t h e   l a r g e s t   f o r e i g n   i n v e s t m e n t   i n   t h e   f o r m e r   S o v i e t   r e p u b l i c . D i s p u t e s   b e t w e e n   K i e v   a n d   M o s c o w   s e r i o u s l y   d i s r u p t e d   R u s s i a n   g a s   f l o w s   v i a   U k r a i n e   i n   0 0 0 6   a n d   0 0 0 9 ,   w i t h   E u r o p e a n   U n i o n   m e m b e r s   B u l g a r i a   a n d   S l o v a k i a   l e f t   w i t h o u t   e n e r g y   i n   t h e   d e p t h s   o f   w i n t e r .",0.5
remain odds term 0009 russian supply deal broker former prime minister yulia tymoshenko serve jail sentencepresident viktor yanukovich preside sign shell 's chief executive peter voser new fuel minister eduard stavitsky `` witness great event today believe become almost relative '' yanukovich tell voserukraine choose shell last may partner develop yuzivska field east country regional council approve production-sharing deal last week remove last hurdle signatureukraine say europe 's third-largest shale gas reserve 40 trillion cubic foot ( -10 trillion cubic metre ) accord us energy information administrationpoland look tap shale reduce russian gas import though massive downward revision estimate reserve decision us major exxonmobil ( xomn ) halt exploration dash initial hop europe 's ambitious shale exponentproduction ukraine several year depend result -15 test well,"T h e y   r e m a i n   a t   o d d s   o v e r   t h e   t e r m s   o f   a   0 0 0 9   R u s s i a n   s u p p l y   d e a l   b r o k e r e d   b y   f o r m e r   p r i m e   m i n i s t e r   Y u l i a   T y m o s h e n k o ,   f o r   w h i c h   s h e   i s   s e r v i n g   a   j a i l   s e n t e n c e . P r e s i d e n t   V i k t o r   Y a n u k o v i c h   p r e s i d e d   o v e r   t h e   s i g n i n g   b e t w e e n   S h e l l ' s   C h i e f   E x e c u t i v e   P e t e r   V o s e r   a n d   n e w   F u e l   M i n i s t e r   E d u a r d   S t a v i t s k y .   "" W e   h a v e   w i t n e s s e d   a   g r e a t   e v e n t   t o d a y .   I   b e l i e v e   w e   h a v e   b e c o m e   a l m o s t   r e l a t i v e s , ""   Y a n u k o v i c h   t o l d   V o s e r . U k r a i n e   c h o s e   S h e l l   l a s t   M a y   a s   a   p a r t n e r   t o   d e v e l o p   t h e   Y u z i v s k a   f i e l d   i n   t h e   e a s t   o f   t h e   c o u n t r y   a n d   r e g i o n a l   c o u n c i l s   t h e r e   a p p r o v e d   t h e   p r o d u c t i o n - s h a r i n g   d e a l   l a s t   w e e k ,   r e m o v i n g   t h e   l a s t   h u r d l e   t o   s i g n a t u r e . U k r a i n e   i s   s a i d   t o   h a v e   E u r o p e ' s   t h i r d - l a r g e s t   s h a l e   g a s   r e s e r v e s   a t   4 0   t r i l l i o n   c u b i c   f e e t   ( -1 . 0   t r i l l i o n   c u b i c   m e t r e s ) ,   a c c o r d i n g   t o   t h e   U . S .   E n e r g y   I n f o r m a t i o n   A d m i n i s t r a t i o n . P o l a n d   t o o   i s   l o o k i n g   t o   t a p   s h a l e   t o   r e d u c e   i t s   R u s s i a n   g a s   i m p o r t s ,   t h o u g h   a   m a s s i v e   d o w n w a r d   r e v i s i o n   i n   i t s   e s t i m a t e d   r e s e r v e s   a n d   a   d e c i s i o n   b y   U . S .   m a j o r   E x x o n M o b i l   ( X O M . N )   t o   h a l t   e x p l o r a t i o n   h a v e   d a s h e d   i n i t i a l   h o p e s   f o r   E u r o p e ' s   m o s t   a m b i t i o u s   s h a l e   e x p o n e n t . P r o d u c t i o n   i n   U k r a i n e   i s   s e v e r a l   y e a r s   o f f   a n d   w i l l   d e p e n d   o n   r e s u l t s   f r o m   -1 5   t e s t   w e l l s .",0.5
-1--14 ngi production however climb 0 bcf past couple day reach 95 bcf thursday accord bloomberg estimate,"-1 - -1 4   N G I :   P r o d u c t i o n ,   h o w e v e r ,   c l i m b e d   a b o u t   0   B c f   o v e r   t h e   p a s t   c o u p l e   d a y s   a n d   r e a c h e d   9 5   B c f   o n   T h u r s d a y ,   a c c o r d i n g   t o   a   B l o o m b e r g   e s t i m a t e .",0.5
oil 84 well world omg,O i l   8 4 . . .   F o r   b e t t e r   w o r l d . . . .   O M G . .,1
based chart easily predict go go need keep tab news,"B a s e d   o n   c h a r t ,   i t   c a n   b e   e a s i l y   p r e d i c t e d   t h a t   i t   i s   g o i n g   t o   g o   u p .   N o   n e e d   t o   k e e p   t a b   o n   n e w s",1
wow -- price action truly man 's land false breakout defeat short long,W o w   - -   t h i s   p r i c e   a c t i o n   i s   t r u l y   n o   m a n ' s   l a n d .   F a l s e   b r e a k o u t   d e f e a t e d   s h o r t s   a n d   l o n g s .  ,1
think 's get another 00 cent today,I   t h i n k   s h e ' s   g o t   a n o t h e r   0 0   c e n t s   i n   h e r   t o d a y,1
joke pump dump,A   j o k e   f r o m   P u m p   a n d   D u m p  ,0.5
c'mon natty n't dissapoint go back,"C ' m o n   N a t t y ,   d o n ' t   d i s s a p o i n t   m e !   G o   b a c k   d o w n   !",0.5
dunno man look good hood,I   d u n n o   m a n . .   l o o k s   n o   g o o d . . . .   i n   t h e   h o o d . . .  ,0.5
hope buy dip next target gap 540 🚀 lol,H o p e   y o u   b o u g h t   t h a t   d i p   n o w   n e x t   t a r g e t   g a p   5 . 4 0   🚀   l o l  ,1
bob,i s   t h i s   B o b ?,0.5
putin invade ukraine pls invade ukraine * * * * * natty trader world nobody sleep eat walk house dont invade ukraine smoke look chart,"P u t i n ! ! !   i n v a d e   U k r a i n e   p l s .   b y   n o t   i n v a d i n g   U k r a i n e ,   y o u   a r e   * * * * * n a t t y   t r a d e r s   a l l   o v e r   t h e   w o r l d .   B e c a u s e   n o b o d y   c a n   s l e e p ,   e a t ,   w a l k   o u t   o f   h o u s e   i f   y o u   d o n t   i n v a d e   U k r a i n e .   J u s t   d o   i t .   s o   I   c a n   h a v e   a   s m o k e   n o t   l o o k i n g   a t   t h e   c h a r t s",0.5
cyber attach could begin ),"t h e r e   i s   a   c y b e r   a t t a c h   n o w ,   c o u l d   i t   b e   t h e   b e g i n n i n g ?   : )",1
gov dont cyber attack shut internet mining coin tank millinium cry beg russia mission accomplish,"g o v   d o n t   d o   c y b e r   a t t a c k ,   t h e y   j u s t   s h u t   d o w n   i n t e r n e t ,   n o   m i n i n g ,   a l l   c o i n s   t a n k .   a l l   m i l l i n i u m   c r y ,   b e g g i n g   R u s s i a   n o t   t o   d o   t h a t .   m i s s i o n   a c c o m p l i s h e d",1
think today +00 % cuz russia plan invade ukraine sonner think,i   t h i n k   t o d a y   + 0 0 %   c u z   R u s s i a   i s   p l a n n i n g   t o   i n v a d e   U k r a i n e   s o n n e r   t h a n   w e   t h o u g h t,1
partner crime,n o   t h e y   a r e   p a r t n e r s   i n   c r i m e   t,0.5
taiwan china russia move take oilfield north africa old stuff * * * * * * * * try take oil world,"t a i w a n ,   t h e n   b o t h   c h i n a   a n d   r u s s i a   w i l l   m o v e   d o w n   t o   t a k e   t h e   o i l f i e l d s   i n   n o r t h   a f r i c a   . . s a m e   o l d   s t u f f   * * * * * * * * t r i e d   t o   t a k e   t h e   o i l   a n d   o w n   t h e   w o r l d !",0.5
block hister,w h a t   w h y   d i d   y o u   b l o c k   h i s t e r,0.5
bull trap,B u l l   t r a p ? ? ? ?  ,0
brainer,T h i s   i s   a   N o   b r a i n e r   ! !,0.5
haha great think,H a h a !   G r e a t   t h a t   y o u   t h i n k   s o .  ,0.5
may finish 400,m a y   j u s t   f i n i s h   a t   4 . 0 0,1
4007,4 . 0 0 7,1
sold l @ 4058 fr 40-18 morning tgt 440 n't nerve wait anymore +858 % enough open position,"S o l d   L   @ 4 . 0 5 8   f r   4 . 0 -1 8   t h i s   m o r n i n g .   T g t   w a s   4 . 4 0 ,   d o n ' t   h a v e   n e r v e s   t o   w a i t   a n y m o r e .   + 8 . 5 8 %   i s   e n o u g h .   N o t   h a v e   o p e n   p o s i t i o n s   n o w .  ",0
offload @ 064 tnx ng gl,o f f l o a d   d   @ . 0 6 4   t n x   n g   . . .   g l   a l l,0.5
going dolar aby news,G o i n g   u p   b e c a u s e   o f   w h a t ?   D o l a r   i s   u p . . .   A b y   n e w s   ?,0.5
come neckline let watch,c o m i n g   u p   o n   t h e   n e c k l i n e   l e t s   w a t c h,0.5
putin,P u t i n  ,0.5
russia put place operative train explosive carry `` false-flag '' operation create pretext invade ukraine us official say friday,"R u s s i a   h a s   p u t   i n   p l a c e   o p e r a t i v e s   t r a i n e d   i n   e x p l o s i v e s   t o   c a r r y   o u t   a   "" f a l s e - f l a g ""   o p e r a t i o n   t o   c r e a t e   a   p r e t e x t   t o   i n v a d e   U k r a i n e ,   a   U . S .   o f f i c i a l   s a i d   F r i d a y .",0.5
source cnn,S o u r c e   C N N   a n d  ,0.5
al satfake news,A l   S a t f a k e   n e w s  ,0.5
'll ride bull train pit close sl hit,I ' l l   r i d e   t h e   b u l l   t r a i n   t h r o u g h   p i t   c l o s e   o r   i f   m y   S L   h i t s,1
c'mon bull big lunch put meat back bone position @ moment,C ' m o n   b u l l s !   B i g   l u n c h   t o   p u t   s o m e   m e a t   b a c k   o n   t h o s e   b o n e s .   N o   p o s i t i o n   @   t h e   m o m e n t .,1
aaaand flush,"a a a a n d ,   f l u s h .",0
would nice see drop 196,W o u l d   b e   n i c e   t o   s e e   t h i s   d r o p   d o w n   t o   1 . 9 6,0
sig resistance sl trigger,"s i g   r e s i s t a n c e ,   s l   t r i g g e r i n g",0.5
mabe ny love seem go,m a b e   n y   l o v e .   i t   s e e m s   t o   b e   g o i n g   u p .,1
russia gon na invade ukraine,R u s s i a   i s   g o n n a   i n v a d e   U k r a i n e,1
mabe ny love seem go,m a b e   n y   l o v e .   i t   s e e m s   t o   b e   g o i n g   u p .,0.5
russia gon na invade ukraine,R u s s i a   i s   g o n n a   i n v a d e   U k r a i n e,1
putin 's nephew talk last night n't bring stupidity comment please,"A r e   y o u   P u t i n ' s   n e p h e w   ? ! ?   D i d   y o u   t a l k   t o   h i m   l a s t   n i g h t ? ! ?   D o n ' t   b r i n g   s t u p i d i t y   a n y   m o r e   i n   y o u r   c o m m e n t s ,   p l e a s e . . . . .",0.5
,T h i s   i s  ,0.5
🤑,🤑,0.5
week profit angry,B y   b y   m y   w e e k   p r o f i t . . .   A n g r y   . . .,0.5
),: ),0.5
s08-1 sl 10-1,S . 0 8 -1 .   S L .   1 0 -1,0
sl move 07-1,S L   m o v e d   t o   . 0 7 -1,1
yeah 'm,O u t .   Y e a h   I ' m   d o n e .,0.5
feb contract 's still 4,F e b   c o n t r a c t   a n d   i t ' s   s t i l l   a b o v e   4 .  ,1
let see,l e t s   s e e !,0.5
,U p,1
big joke,T h i s   i s   a   b i g   j o k e,0.5
look like short early guess 4-10 next deep get rid wo n't keep next week look around 4-195 come,I t   l o o k s   l i k e   y o u   s h o r t   i t   t o   e a r l y   I   g u e s s   4 . -1 0   n e x t   d e e p   g e t   r i d   i f   I   m   y o u   I   w o n ' t   k e e p   i t   f o r   n e x t   w e e k   l o o k   a r o u n d   f o r   4 . -1 9 5   i f   i t   c o m e   . . .,0.5
farook u need patient 07 touch,F a r o o k   U .   J u s t   y o u   n e e d   t o   b e   p a t i e n t   t h a t   i s   . 0 7   t o u c h . .,0.5
thank bro respect,T h a n k   y o u   B r o   R e s p e c t,0.5
short @ 047 base let 's see work,"S h o r t   @ 0 4 7 ,   b a s e d   o n   t h i s .   L e t ' s   s e e   i f   i t   w o r k s . . .",0
fixed sl @ 100,F i x e d   S L   @ 1 0 0 .  ,0
cup handle pattern time pour coffee,C u p   a n d   h a n d l e   p a t t e r n .   T i m e   t o   p o u r   s o m e   m o r e   c o f f e e,1
ric flair say head 4050,d i d   r i c   f l a i r   s a y   t h a t   w e   w e r e   h e a d e d   t o   4 . 0 5 0,0.5
ttf close -177 % -11 %,T T F   c l o s e d   -1 . 7 7 %   a f t e r   -1 1 %,0.5
bull trap,B u l l   t r a p,0
010 sl 05-1,S   . 0 1 0 .   S l .   0 . 5 -1   A g a i n,0
justification instinct look like possible rise wedge,M y   j u s t i f i c a t i o n   a g a i n s t   m y   i n s t i n c t s   i s   t h a t   i t   l o o k s   l i k e   a   p o s s i b l e   r i s i n g   w e d g e .,0.5
guess im wrong okay 's go,I   g u e s s   i m   w r o n g .   O k a y   i t ' s   g o i n g   u p .,0.5
n't short go weekend,D o n ' t   b e   s h o r t   g o i n g   i n t o   t h e   w e e k e n d,1
crazy 44 come soon,"C r a z y . ,   4 . 4   c o m i n g   s o o n",1
's finish today,i t ' s   f i n i s h   f o r   t o d a y   ! ! !,0.5
nice call crazy,n i c e   c a l l   c r a z y,1
buy sell,b u y   o r   s e l l ?,0.5
short long ask tag tisla,s h o r t   o r   l o n g   a s k   a n d   t a g   t i s l a,0.5
$ 7 dream wake,$ 7   i n   y o u r   d r e a m .   W a k e   u p !  ,0
buy,b u y,1
everyone make money,E v e r y o n e   m a k i n g   m o n e y ?  ,0.5
tisla seem bunch spamming,T i s l a   s e e m s   j u s t   a   b u n c h   o f   s p a m m i n g   t o   m e .  ,0.5
loosing,L o o s i n g,0.5
cali traderyup,C a l i   T r a d e r y u p,0.5
95 % accurate 🎉buzzing🎉 signâls 70097-109-15,F o r   9 5 %   A c c u r a t e   🎉 B u z z i n g 🎉   S i g n â l s   7 . . . 0 . . 0 . . . 9 . . . . . . 7 . . . -1 . . . 0 . . . 9 . . . -1 . . . 5,0.5
sure close today know 's head,N o t   s u r e   w h e r e   s h e   c l o s e s   t o d a y   j u s t   k n o w   w h e r e   s h e ' s   h e a d e d .,0.5
008-0-100-18-000,0 0 8 - 0 -1 0 . . . 0 -1 8 - 0 0 0,0.5
's head ),w h e r e   s h e ' s   h e a d e d ?   : ),0.5
petrika stoja 450+,P e t r i k a   S t o j a   4 . 5 0 +,1
look like nice oscillation uptrend pattern 5min neraly finish wonder break,"S o   t h a t   l o o k s   l i k e   n i c e   o s c i l l a t i o n   u p t r e n d   p a t t e r n   o n   5 m i n   n e r a l y   f i n i s h i n g ,   w o n d e r   w h e r e   i t   w i l l   b r e a k",1
cab go back 4-1,C a b   i t   g o   b a c k   t o   4 . -1 ?,0
head,I t s   h e a d i n g   t h e r e,0.5
call bustin loose ; ),i   c a l l   i t   b u s t i n   l o o s e ! !   ; ),0.5
thank bob teaching,t h a n k   y o u   B o b   f o r   t h e   t e a c h i n g s  ,0.5
need,o n l y   i f   y o u   n e e d   i t !,0.5
coursewelcomed anytime 😊,o f   c o u r s e . . . w e l c o m e d   a n y t i m e   😊,0.5
time,n o t   t h i s   t i m e,0.5
bull trap,B u l l   t r a p   a g a i n,0
bull trap mate check volume -1 hour goo 45,"n o t   a   b u l l   t r a p   m a t e   ,   c h e c k   t h e   v o l u m e   i n   -1   h o u r   , ,   i t   w i l l   g o o   a b o v e   4 . 5",0
ehe,e h e,0.5
,T h i s   i s  ,0.5
quadruple top time blast,q u a d r u p l e   t o p   o r   t i m e   t o   b l a s t   o f f ?,1
m @ 00-1 froom 010,I ' m   o u t   @   . 0 0 -1   f r o o m   . 0 1 0 .,0.5
ric flair wooo may last trade day unless something crazy happen,R i c   F l a i r   W o o o .   M a y   b e   m y   l a s t   t r a d e   o f   t h e   d a y   u n l e s s   s o m e t h i n g   c r a z y   h a p p e n s .,0.5
come right,c o m i n g   r i g h t   u p,0.5
crazy stuff,t h e   c r a z y   s t u f f !,0.5
need 407,n e e d   4 . 0 7,1
buy monday,b u y i n g   f o r   M o n d a y,1
eddi liciousbig bull move,E d d i   l i c i o u s b i g   b u l l   m o v e,1
us market close monday,U s   m a r k e t   c l o s e d   o n   m o n d a y . . .,0.5
